Demand ID,Plant ID,Cost_USD_per_MWh
D6,P59,78.257
D6,P60,46.551
D6,P61,51.699
D6,P62,67.624
D6,P63,54.123
D6,P64,53.785
D7,P1,60.641
D7,P2,73.283
D7,P3,59.352
D7,P4,71.068
D7,P5,88.763
D7,P6,67.172
D7,P7,73.708
D7,P8,68.12
D7,P9,57.611
D7,P10,74.063
D7,P11,68.293
D7,P12,83.013
D7,P13,70.629
D7,P14,50.351
D7,P15,50.179
D7,P16,67.509
D7,P17,68.808
D7,P18,54.799
D7,P19,59.274
D7,P20,50.201
D7,P21,58.612
D7,P22,51.597
D7,P23,57.95
D7,P24,52.628
D7,P25,53.149
D7,P26,47.974
D7,P27,53.672
D7,P28,54.044
D7,P29,56.637
D7,P30,57.303
D7,P31,75.846
D7,P32,56.816
D7,P33,40.455
D7,P34,59.56
D7,P35,53.911
D7,P36,57.926
D7,P37,62.828
D7,P38,50.147
D7,P39,63.268
D7,P40,62.104
D7,P41,70.853
D7,P42,37.912
D7,P43,47.896
D7,P44,62.644
D7,P45,64.869
D7,P46,75.499
D7,P47,71.58
D7,P48,79.897
D7,P49,57.992
D7,P50,66.654
D7,P51,60.586
D7,P52,75.295
D7,P53,58.223
D7,P54,39.345
D7,P55,65.269
D7,P56,58.512
D7,P57,62.779
D7,P58,77.365
D7,P59,75.95
D7,P60,53.455
D7,P61,42.344
D7,P62,65.197
D7,P63,55.447
D7,P64,70.768
D8,P1,67.964
D8,P2,72.572
D8,P3,47.229
D8,P4,73.059
D8,P5,75.053
D8,P6,59.579
D8,P7,66.305
D8,P8,57.586
D8,P9,60.485
D8,P10,66.562
D8,P11,64.862
D8,P12,66.551
D8,P13,79.494
D8,P14,40.428
D8,P15,42.537
D8,P16,59.579
D8,P17,66.706
D8,P18,45.962
D8,P19,60.295
D8,P20,44.187
D8,P21,52.837
D8,P22,43.585
D8,P23,51.294
D8,P24,56.882
D8,P25,58.147
D8,P26,44.28
D8,P27,53.15
D8,P28,34.463
D8,P29,65.614
D8,P30,48.731
D8,P31,67.404
D8,P32,62.35
D8,P33,47.507
D8,P34,49.585
D8,P35,52.558
D8,P36,55.478
D8,P37,55.451
D8,P38,58.963
D8,P39,62.419
D8,P40,55.126
D8,P41,59.106
D8,P42,38.96
D8,P43,52.281
D8,P44,54.048
D8,P45,61.623
D8,P46,67.907
D8,P47,67.755
D8,P48,71.6
D8,P49,57.253
D8,P50,54.767
D8,P51,62.484
D8,P52,71.281
D8,P53,54.677
D8,P54,51.704
D8,P55,59.455
D8,P56,54.283
D8,P57,58.22
D8,P58,73.747
D8,P59,61.63
D8,P60,46.753
D8,P61,43.85
D8,P62,63.646
D8,P63,52.258
D8,P64,54.379
D9,P1,61.024
D9,P2,77.927
D9,P3,64.831
D9,P4,68.374
D9,P5,86.308
D9,P6,67.55
D9,P7,64.205
D9,P8,73.78
D9,P9,60.831
D9,P10,63.039
D9,P11,67.165
D9,P12,78.787
D9,P13,80.52
D9,P14,55.142
D9,P15,47.863
D9,P16,80.353
D9,P17,68.964
D9,P18,69.087
D9,P19,71.781
D9,P20,59.146
D9,P21,70.048
D9,P22,64.685
D9,P23,59.327
D9,P24,52.303
D9,P25,63.577
D9,P26,58.128
D9,P27,58.17
D9,P28,55.825
D9,P29,58.881
D9,P30,74.562
D9,P31,79.22
D9,P32,69.291
D9,P33,57.055
D9,P34,63.399
D9,P35,57.644
D9,P36,62.962
D9,P37,64.626
D9,P38,52.45
D9,P39,62.464
D9,P40,65.895
D9,P41,81.315
D9,P42,45.033
D9,P43,48.485
D9,P44,69.612
D9,P45,56.642
D9,P46,79.963
D9,P47,245.04000000000002
D9,P48,70.059
D9,P49,64.646
D9,P50,69.23
D9,P51,62.24
D9,P52,77.167
D9,P53,73.404
D9,P54,56.038
D9,P55,71.045
D9,P56,66.53
D9,P57,60.824
D9,P58,83.656
D9,P59,76.959
D9,P60,52.187
D9,P61,59.981
D9,P62,72.315
D9,P63,59.596
D9,P64,68.442
D10,P1,58.589
D10,P2,81.046
D10,P3,47.664
D10,P4,71.26
D10,P5,75.949
D10,P6,51.422
D10,P7,64.942
D10,P8,53.116
D10,P9,63.293
D10,P10,60.741
D10,P11,56.84
D10,P12,54.576
D10,P13,72.396
D10,P14,41.518
D10,P15,27.038
D10,P16,45.175
D10,P17,52.256
D10,P18,51.693
D10,P19,51.281
D10,P20,42.292
D10,P21,56.003
D10,P22,42.832
D10,P23,39.064
D10,P24,51.348
D10,P25,55.204
D10,P26,44.842
D10,P27,41.3
D10,P28,31.579
D10,P29,59.356
D10,P30,59.808
D10,P31,66.122
D10,P32,61.457
D10,P33,38.268
D10,P34,51.939
D10,P35,47.776
D10,P36,47.319
D10,P37,53.904
D10,P38,54.892
D10,P39,55.34
D10,P40,50.601
D10,P41,65.421
D10,P42,37.017
D10,P43,41.763
D10,P44,53.031
D10,P45,57.424
D10,P46,61.534
D10,P47,60.263
D10,P48,58.375
D10,P49,62.867
D10,P50,57.911
D10,P51,54.311
D10,P52,63.365
D10,P53,54.533
D10,P54,50.203
D10,P55,49.694
D10,P56,50.168
D10,P57,53.244
D10,P58,78.214
D10,P59,52.792
D10,P60,38.131
D10,P61,46.636
D10,P62,65.154
D10,P63,52.586
D10,P64,49.216
D11,P1,72.421
D11,P2,
D11,P3,66.213
D11,P4,75.196
D11,P5,90.77
D11,P6,70.888
D11,P7,60.795
D11,P8,73.674
D11,P9,62.761
D11,P10,62.064
D11,P11,65.095
D11,P12,73.88
D11,P13,77.949
D11,P14,50.705
D11,P15,45.978
D11,P16,65.32
D11,P17,64.081
D11,P18,61.457
D11,P19,73.608
D11,P20,60.854
D11,P21,71.31
D11,P22,48.868
D11,P23,58.335
D11,P24,57.574
D11,P25,57.484
D11,P26,51.98
D11,P27,59.743
D11,P28,48.165
D11,P29,65.165
D11,P30,72.487
D11,P31,68.465
D11,P32,73.249
D11,P33,59.384
D11,P34,58.618
D11,P35,53.7
D11,P36,64.697
D11,P37,67.863
D11,P38,58.162
D11,P39,66.883
D11,P40,64.951
D11,P41,68.657
D11,P42,49.489
D11,P43,44.616
D11,P44,58.744
D11,P45,67.352
D11,P46,77.291
D11,P47,72.408
D11,P48,67.625
D11,P49,65.339
D11,P50,66.705
D11,P51,64.202
D11,P52,85.235
D11,P53,66.77
D11,P54,59.136
D11,P55,70.008
D11,P56,68.998
D11,P57,65.869
D11,P58,80.295
D11,P59,70.668
D11,P60,47.647
D11,P61,60.312
D11,P62,67.934
D11,P63,63.017
D11,P64,65.226
D12,P1,54.768
D12,P2,66.041
D12,P3,46.186
D12,P4,79.299
D12,P5,84.753
D12,P6,81.88
D12,P7,77.365
D12,P8,65.634
D12,P9,62.392
D12,P10,67.264
D12,P11,66.45
D12,P12,83.87
D12,P13,55.907
D12,P14,60.357
D12,P15,53.662
D12,P16,56.005
D12,P17,73.55
D12,P18,61.86
D12,P19,62.336
D12,P20,59.063
D12,P21,59.579
D12,P22,51.41
D12,P23,64.125
D12,P24,54.779
D12,P25,39.165
D12,P26,49.716
D12,P27,59.152
D12,P28,42.871
D12,P29,67.331
D12,P30,43.27
D12,P31,72.977
D12,P32,67.445
D12,P33,39.892
D12,P34,65.795
D12,P35,59.94
D12,P36,53.093
D12,P37,70.627
D12,P38,48.372
D12,P39,67.688
D12,P40,57.206
D12,P41,84.065
D12,P42,57.319
D12,P43,58.619
D12,P44,67.551
D12,P45,65.032
D12,P46,71.06
D12,P47,68.027
D12,P48,85.954
D12,P49,61.547
D12,P50,64.644
D12,P51,57.839
D12,P52,73.076
D12,P53,58.886
D12,P54,45.059
D12,P55,63.772
D12,P56,69.31
D12,P57,67.036
D12,P58,81.817
D12,P59,88.944
D12,P60,51.206
D12,P61,39.581
D12,P62,81.21
D12,P63,70.933
D12,P64,79.552
D13,P1,70.873
D13,P2,85.922
D13,P3,76.641
D13,P4,94.496
D13,P5,93.295
D13,P6,81.476
D13,P7,73.577
D13,P8,79.228
D13,P9,64.205
D13,P10,68.94
D13,P11,64.699
D13,P12,68.453
D13,P13,60.865
D13,P14,54.476
D13,P15,48.76
D13,P16,67.553
D13,P17,72.678
D13,P18,55.258
D13,P19,74.023
D13,P20,57.688
D13,P21,63.266
D13,P22,65.635
D13,P23,68.176
D13,P24,52.931
D13,P25,48.595
D13,P26,56.245
D13,P27,68.557
D13,P28,54.1
D13,P29,43.17
D13,P30,53.334
D13,P31,84.048
D13,P32,71.755
D13,P33,57.283
D13,P34,70.194
D13,P35,55.577
D13,P36,62.162
D13,P37,73.941
D13,P38,43.81
D13,P39,78.357
D13,P40,58.196
D13,P41,84.518
D13,P42,42.893
D13,P43,60.314
D13,P44,69.408
D13,P45,66.695
D13,P46,76.018
D13,P47,74.524
D13,P48,65.916
D13,P49,54.289
D13,P50,63.112
D13,P51,62.041
D13,P52,75.591
D13,P53,56.755
D13,P54,63.893
D13,P55,56.59
D13,P56,62.084
D13,P57,62.062
D13,P58,85.257
D13,P59,76.179
D13,P60,65.672
D13,P61,65.869
D13,P62,71.497
D13,P63,53.618
D13,P64,73.271
D14,P1,62.468
D14,P2,82.419
D14,P3,63.689
D14,P4,74.335
D14,P5,74.92
D14,P6,68.06
D14,P7,61.031
D14,P8,69.607
D14,P9,68.194
D14,P10,62.728
D14,P11,57.368
D14,P12,61.612
D14,P13,70.369
D14,P14,46.609
D14,P15,49.95
D14,P16,53.748
D14,P17,61.251
D14,P18,50.816
D14,P19,66.652
D14,P20,52.028
D14,P21,68.288
D14,P22,51.008
D14,P23,64.098
D14,P24,59.327
D14,P25,58.382
D14,P26,52.911
D14,P27,57.278
D14,P28,38.434
D14,P29,64.343
D14,P30,60.124
D14,P31,71.698
D14,P32,71.978
D14,P33,47.354
D14,P34,66.842
D14,P35,56.472
D14,P36,60.286
D14,P37,73.108
D14,P38,56.602
D14,P39,64.213
D14,P40,58.615
D14,P41,70.867
D14,P42,57.814
D14,P43,48.918
D14,P44,58.727
D14,P45,60.97
D14,P46,69.605
D14,P47,69.599
D14,P48,69.263
D14,P49,61.767
D14,P50,72.713
D14,P51,67.447
D14,P52,70.503
D14,P53,61.811
D14,P54,59.841
D14,P55,55.305
D14,P56,62.434
D14,P57,58.972
D14,P58,77.052
D14,P59,69.986
D14,P60,53.89
D14,P61,57.455
D14,P62,70.685
D14,P63,60.827
D14,P64,59.397
D15,P1,59.343
D15,P2,75.48
D15,P3,44.244
D15,P4,65.762
D15,P5,68.567
D15,P6,66.393
D15,P7,57.877
D15,P8,60.23
D15,P9,52.294
D15,P10,56.473
D15,P11,63.859
D15,P12,67.662
D15,P13,70.743
D15,P14,45.325
D15,P15,43.707
D15,P16,66.89
D15,P17,61.838
D15,P18,52.758
D15,P19,58.239
D15,P20,50.897
D15,P21,48.58
D15,P22,48.621
D15,P23,58.575
D15,P24,51.265
D15,P25,49.319
D15,P26,40.659
D15,P27,49.232
D15,P28,38.845
D15,P29,60.74
D15,P30,46.435
D15,P31,59.383
D15,P32,49.059
D15,P33,45.231
D15,P34,47.671
D15,P35,53.864
D15,P36,55.01
D15,P37,60.148
D15,P38,51.097
D15,P39,59.925
D15,P40,61.129
D15,P41,65.726
D15,P42,38.796
D15,P43,49.404
D15,P44,57.669
D15,P45,58.639
D15,P46,70.322
D15,P47,63.728
D15,P48,64.186
D15,P49,48.219
D15,P50,50.054
D15,P51,55.025
D15,P52,65.11
D15,P53,56.65
D15,P54,45.956
D15,P55,58.831
D15,P56,51.544
D15,P57,48.057
D15,P58,62.178
D15,P59,65.956
D15,P60,44.074
D15,P61,42.213
D15,P62,57.997
D15,P63,53.948
D15,P64,58.905
D16,P1,71.742
D16,P2,67.51
D16,P3,66.894
D16,P4,79.933
D16,P5,74.989
D16,P6,75.154
D16,P7,63.828
D16,P8,78.108
D16,P9,58.272
D16,P10,64.352
D16,P11,61.919
D16,P12,69.276
D16,P13,77.129
D16,P14,39.886
D16,P15,50.522
D16,P16,59.804
D16,P17,74.418
D16,P18,57.087
D16,P19,57.335
D16,P20,50.719
D16,P21,53.567
D16,P22,56.375
D16,P23,56.53
D16,P24,56.423
D16,P25,51.487
D16,P26,47.486
D16,P27,49.424
D16,P28,52.639
D16,P29,49.733
D16,P30,50.651
D16,P31,79.351
D16,P32,57.639
D16,P33,44.399
D16,P34,66.092
D16,P35,55.869
D16,P36,53.522
D16,P37,64.939
D16,P38,33.857
D16,P39,62.14
D16,P40,45.069
D16,P41,76.008
D16,P42,49.874
D16,P43,45.53
D16,P44,60.226
D16,P45,63.2
D16,P46,73.74
D16,P47,67.666
D16,P48,69.839
D16,P49,50.122
D16,P50,70.192
D16,P51,57.763
D16,P52,74.23
D16,P53,54.766
D16,P54,43.796
D16,P55,64.802
D16,P56,49.812
D16,P57,54.408
D16,P58,82.554
D16,P59,76.059
D16,P60,58.555
D16,P61,51.794
D16,P62,67.639
D16,P63,59.045
D16,P64,68.663
D17,P1,65.717
D17,P2,73.197
D17,P3,66.743
D17,P4,63.678
D17,P5,79.488
D17,P6,73.641
D17,P7,61.637
D17,P8,63.386
D17,P9,54.262
D17,P10,64.499
D17,P11,64.639
D17,P12,75.465
D17,P13,65.965
D17,P14,50.155
D17,P15,54.17
D17,P16,68.982
D17,P17,65.854
D17,P18,56.703
D17,P19,79.531
D17,P20,50.444
D17,P21,59.585
D17,P22,48.801
D17,P23,57.067
D17,P24,49.419
D17,P25,51.397
D17,P26,50.084
D17,P27,64.43
D17,P28,48.575
D17,P29,58.143
D17,P30,55.245
D17,P31,72.206
D17,P32,62.448
D17,P33,48.587
D17,P34,57.997
D17,P35,51.456
D17,P36,60.234
D17,P37,61.046
D17,P38,48.689
D17,P39,62.902
D17,P40,63.074
D17,P41,73.913
D17,P42,33.682
D17,P43,52.368
D17,P44,60.15
D17,P45,65.138
D17,P46,70.808
D17,P47,73.085
D17,P48,65.268
D17,P49,50.361
D17,P50,59.564
D17,P51,63.436
D17,P52,66.193
D17,P53,63.126
D17,P54,58.273
D17,P55,58.545
D17,P56,62.25
D17,P57,51.028
D17,P58,68.261
D17,P59,66.156
D17,P60,59.043
D17,P61,48.285
D17,P62,64.336
D17,P63,55.047
D17,P64,74.467
D18,P1,71.153
D18,P2,83.763
D18,P3,64.038
D18,P4,73.692
D18,P5,84.085
D18,P6,78.482
D18,P7,73.996
D18,P8,69.963
D18,P9,67.019
D18,P10,71.601
D18,P11,63.961
D18,P12,65.209
D18,P13,74.983
D18,P14,52.072
D18,P15,42.224
D18,P16,63.068
D18,P17,64.417
D18,P18,54.721
D18,P19,63.836
D18,P20,65.563
D18,P21,67.005
D18,P22,51.158
D18,P23,55.792
D18,P24,63.984
D18,P25,60.181
D18,P26,49.508
D18,P27,52.901
D18,P28,51.104
D18,P29,50.329
D18,P30,71.198
D18,P31,75.453
D18,P32,66.515
D18,P33,44.498
D18,P34,60.42
D18,P35,55.953
D18,P36,60.685
D18,P37,71.584
D18,P38,60.858
D18,P39,59.107
D18,P40,64.719
D18,P41,71.209
D18,P42,45.463
D18,P43,51.399
D18,P44,56.345
D18,P45,67.314
D18,P46,71.457
D18,P47,65.758
D18,P48,70.181
D18,P49,71.73
D18,P50,72.105
D18,P51,60.33
D18,P52,77.368
D18,P53,56.56
D18,P54,56.666
D18,P55,58.373
D18,P56,62.101
D18,P57,66.442
D18,P58,84.291
D18,P59,69.806
D18,P60,46.321
D18,P61,54.174
D18,P62,66.345
D18,P63,61.113
D18,P64,63.898
D19,P1,62.969
D19,P2,80.802
D19,P3,65.177
D19,P4,77.926
D19,P5,83.404
D19,P6,66.685
D19,P7,73.966
D19,P8,75.156
D19,P9,59.378
D19,P10,69.945
D19,P11,63.106
D19,P12,74.795
D19,P13,61.568
D19,P14,48.219
D19,P15,48.47
D19,P16,58.716
D19,P17,63.482
D19,P18,49.926
D19,P19,68.337
D19,P20,56.189
D19,P21,64.533
D19,P22,51.567
D19,P23,49.141
D19,P24,44.933
D19,P25,46.274
D19,P26,49.707
D19,P27,60.968
D19,P28,49.433
D19,P29,48.856
D19,P30,52.875
D19,P31,80.64
D19,P32,77.072
D19,P33,42.351
D19,P34,62.87
D19,P35,55.052
D19,P36,56.717
D19,P37,73.661
D19,P38,50.301
D19,P39,62.629
D19,P40,48.106
D19,P41,70.669
D19,P42,46.309
D19,P43,55.132
D19,P44,60.555
D19,P45,66.222
D19,P46,62.497
D19,P47,75.769
D19,P48,68.71
D19,P49,54.534
D19,P50,75.055
D19,P51,67.398
D19,P52,69.746
D19,P53,54.041
D19,P54,54.897
D19,P55,52.066
D19,P56,66.252
D19,P57,63.686
D19,P58,80.006
D19,P59,66.83
D19,P60,58.197
D19,P61,56.023
D19,P62,73.33
D19,P63,59.374
D19,P64,66.418
D20,P1,59.632
D20,P2,76.044
D20,P3,46.911
D20,P4,71.351
D20,P5,76.269
D20,P6,69.134
D20,P7,66.838
D20,P8,63.578
D20,P9,59.833
D20,P10,69.776
D20,P11,69.503
D20,P12,76.848
D20,P13,61.166
D20,P14,56.085
D20,P15,45.447
D20,P16,67.413
D20,P17,66.822
D20,P18,60.128
D20,P19,62.83
D20,P20,52.946
D20,P21,59.229
D20,P22,46.6
D20,P23,59.903
D20,P24,53.113
D20,P25,51.321
D20,P26,47.55
D20,P27,60.849
D20,P28,39.917
D20,P29,69.29
D20,P30,45.582
D20,P31,66.188
D20,P32,52.263
D20,P33,33.336
D20,P34,49.04
D20,P35,52.408
D20,P36,63.275
D20,P37,59.963
D20,P38,49.204
D20,P39,73.501
D20,P40,62.914
D20,P41,74.585
D20,P42,44.448
D20,P43,59.398
D20,P44,62.296
D20,P45,63.047
D20,P46,70.424
D20,P47,70.09
D20,P48,78.024
D20,P49,57.744
D20,P50,47.842
D20,P51,55.327
D20,P52,60.059
D20,P53,66.207
D20,P54,47.639
D20,P55,58.118
D20,P56,67.833
D20,P57,54.419
D20,P58,67.077
D20,P59,72.942
D20,P60,48.317
D20,P61,40.866
D20,P62,69.779
D20,P63,64.503
D20,P64,68.681
D21,P1,59.413
D21,P2,75.933
D21,P3,55.506
D21,P4,76.95
D21,P5,73.867
D21,P6,51.154
D21,P7,58.062
D21,P8,59.58
D21,P9,56.912
D21,P10,52.407
D21,P11,55.071
D21,P12,62.624
D21,P13,70.066
D21,P14,43.05
D21,P15,30.479
D21,P16,52.844
D21,P17,54.07
D21,P18,43.31
D21,P19,59.735
D21,P20,50.827
D21,P21,158.19899999999998
D21,P22,46.912
D21,P23,51.955
D21,P24,48.787
D21,P25,42.768
D21,P26,40.8
D21,P27,50.007
D21,P28,39.234
D21,P29,47.565
D21,P30,46.911
D21,P31,64.485
D21,P32,66.199
D21,P33,50.359
D21,P34,49.658
D21,P35,42.751
D21,P36,55.677
D21,P37,53.249
D21,P38,51.71
D21,P39,54.099
D21,P40,53.552
D21,P41,57.277
D21,P42,28.57
D21,P43,49.091
D21,P44,44.453
D21,P45,52.038
D21,P46,63.811
D21,P47,59.8
D21,P48,58.099
D21,P49,44.264
D21,P50,57.26
D21,P51,52.932
D21,P52,68.188
D21,P53,46.797
D21,P54,52.789
D21,P55,53.916
D21,P56,51.171
D21,P57,59.385
D21,P58,61.694
D21,P59,52.203
D21,P60,42.353
D21,P61,48.488
D21,P62,52.034
D21,P63,44.143
D21,P64,50.995
D22,P1,52.835
D22,P2,72.21
D22,P3,48.676
D22,P4,74.986
D22,P5,77.441
D22,P6,65.142
D22,P7,
D22,P8,63.547
D22,P9,60.994
D22,P10,53.642
D22,P11,63.174
D22,P12,62.321
D22,P13,63.671
D22,P14,51.971
D22,P15,39.88
D22,P16,64.768
D22,P17,66.563
D22,P18,66.779
D22,P19,54.605
D22,P20,50.562
D22,P21,55.567
D22,P22,45.965
D22,P23,73.116
D22,P24,47.949
D22,P25,56.503
D22,P26,51.437
D22,P27,48.502
D22,P28,35.889
D22,P29,86.648
D22,P30,59.488
D22,P31,64.639
D22,P32,55.119
D22,P33,52.148
D22,P34,60.913
D22,P35,62.627
D22,P36,56.966
D22,P37,56.923
D22,P38,40.012
D22,P39,68.101
D22,P40,73.045
D22,P41,85.486
D22,P42,50.944
D22,P43,45.75
D22,P44,69.887
D22,P45,54.492
D22,P46,79.969
D22,P47,79.328
D22,P48,70.186
D22,P49,61.381
D22,P50,41.937
